排名,特征,SHAP均值
1,光照时长h,0.23562887
2,高温天数_7d,0.23069054
3,trend_水温_3d,0.22948895
4,溶氧_有效,0.22592662
5,最高湿度%,0.17960846
6,氨氮mg/L,0.1535715
7,气温_std,0.14248064
8,最高水温℃,0.13306378
9,湿度_日均_roll7d_mean,0.12690593
10,光照_峰值,0.12352971
11,水温_std,0.11035549
12,DLI_approx,0.09913238
13,水温_日均_roll7d_std,0.09526523
14,最高气温℃,0.09350829
15,DO_亏损,0.090381
16,水温_日均_roll7d_mean,0.08908396
17,DO_饱和比,0.08873699
18,pinn_P_photo,0.08824641
19,PH,0.08516235
20,水温_变化率,0.081680305
21,最低气温℃,0.08161274
22,湿度_日均_roll7d_std,0.081023015
23,气温_日均_roll7d_mean,0.07462859
24,湿度_日均_roll3d_mean,0.07284148
25,气温_日均_roll3d_mean,0.06303515
26,湿度_std,0.060472067
27,DO_volatility,0.06013215
28,最低湿度%,0.05814575
29,水气温差,0.057652656
30,湿度_日均_roll3d_std,0.0574682
31,气温_日较差,0.051396236
32,湿度_日均_lag1d,0.047690444
33,湿度_日均_lag3d,0.047551144
34,pinn_DO_deficit,0.047502242
35,气温_日均_lag1d,0.04620863
36,气温_日均_lag3d,0.04570114
37,pinn_oxygen_stress,0.04363269
38,水温_日均_roll3d_std,0.043429364
39,气温_日均_roll7d_std,0.043347556
40,EC值ms/cm,0.042600036
41,水温_日均_lag3d,0.04098609
42,气温_日均_roll3d_std,0.040908437
43,湿度_变化率,0.040571168
44,湿度_日均,0.036939546
45,气温_变化率,0.03597151
46,气温_日均,0.034172174
47,水温_日均_roll3d_mean,0.03113069
48,溶氧_变化率,0.028726673
49,pinn_DO_sat_ratio,0.025433868
50,水温_日均_lag1d,0.02383089
51,氨氮_变化率,0.021931216
52,溶氧mg/L,0.021099754
53,水温波动_加速度,0.020668339
54,最低水温℃,0.018973954
55,亚盐mg/L,0.018282935
56,pinn_reaeration,0.016534833
57,水温_日较差,0.016343802
58,水气温_交互,0.015973274
59,水温_偏离适宜,0.015645394
60,水温_日均,0.013006341
61,EC_有效,0.012248183
62,DO_饱和度_理论,0.011411433
63,亚盐_有效,0.008614136
64,pinn_DO_margin,0.0073139216
65,pinn_R_fish_T,0.004273281
66,PH_变化率,0.00423466
67,低氧天数_7d,0.0023294538
68,氨氮_有效,0.0020567488
69,PH_有效,0.00043169677
