排名,特征,SHAP均值
1,光照时长h,0.39731884
2,最低气温℃,0.24988954
3,EC值ms/cm,0.24232738
4,EC_有效,0.22103164
5,光照_峰值,0.21588384
6,湿度_日均_roll7d_mean,0.16423953
7,湿度_日均_roll7d_std,0.15386072
8,最高湿度%,0.14395733
9,最高气温℃,0.13681477
10,pinn_P_photo,0.13391012
11,气温_日均_roll3d_std,0.11820075
12,气温_日均_roll7d_std,0.10333575
13,PH_有效,0.09859875
14,气温_日均_roll7d_mean,0.096940674
15,湿度_日均_lag3d,0.094817445
16,气温_日均_lag1d,0.09125287
17,气温_std,0.09018264
18,气温_变化率,0.08796319
19,最高水温℃,0.08757233
20,DLI_approx,0.07815326
21,水温_日均_lag3d,0.07474226
22,最低湿度%,0.072646216
23,pinn_DO_deficit,0.071038626
24,湿度_变化率,0.07079282
25,湿度_日均_roll3d_std,0.07045996
26,水气温_交互,0.07045182
27,水温_std,0.06795795
28,气温_日均_lag3d,0.06737282
29,水气温差,0.067216925
30,湿度_std,0.0631995
31,气温_日均,0.058747075
32,水温_日均_roll7d_mean,0.054636385
33,气温_日较差,0.054294378
34,pinn_DO_sat_ratio,0.05102141
35,气温_日均_roll3d_mean,0.045273855
36,trend_水温_3d,0.043314762
37,DO_volatility,0.04210403
38,水温_日均_roll3d_std,0.040991593
39,氨氮mg/L,0.038990885
40,PH,0.038376648
41,湿度_日均_roll3d_mean,0.035710838
42,湿度_日均,0.035645943
43,水温波动_加速度,0.03452416
44,水温_日较差,0.034467027
45,水温_日均_roll7d_std,0.032888256
46,湿度_日均_lag1d,0.032865886
47,pinn_oxygen_stress,0.031875137
48,溶氧_有效,0.03076098
49,DO_饱和比,0.029978558
50,高温天数_7d,0.024803242
51,最低水温℃,0.024656016
52,水温_变化率,0.022262389
53,氨氮_有效,0.0220994
54,水温_日均_lag1d,0.021777146
55,DO_亏损,0.021674393
56,氨氮_变化率,0.018073875
57,溶氧_变化率,0.017650507
58,水温_日均,0.01715148
59,pinn_reaeration,0.016424913
60,溶氧mg/L,0.01451637
61,水温_日均_roll3d_mean,0.012872293
62,水温_偏离适宜,0.008702327
63,PH_变化率,0.007919539
64,亚盐mg/L,0.0051659727
65,亚盐_有效,0.0043610143
66,pinn_DO_margin,0.0035362185
67,pinn_R_fish_T,0.003515157
68,DO_饱和度_理论,0.003313374
69,低氧天数_7d,0.0
